id,fecha,vehicle_id,monto,tipo,motivo,categoria_real,comentarios,texto_normalizado,sugerencia_tipo_gasto,sugerencia_subtipo_gasto
6b14dfa5-bc9f-4143-939e-b9bd0764e41b,2024-07-08,19,200,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 19 CUOTA 3/5 KIT  MAS SOPORTE CAJA · Excel GASTOS fila 2929 [origen gastos_caja id=2914],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 19 cuota 3/5 kit mas soporte caja · excel gastos fila 2929 [origen gastos_caja id=2914] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
9b453934-bc52-4ad9-9a51-88f897a097fa,2024-07-08,16,200,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 16 CUOTA 3/8 CULATA Y + · Excel GASTOS fila 2930 [origen gastos_caja id=2915],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 16 cuota 3/8 culata y + · excel gastos fila 2930 [origen gastos_caja id=2915] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
2c7a3f70-4a81-443d-822f-a0c19119ed22,2024-07-24,39,180,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 39 CAMBIO DE RODAJE POSTERIOR · Excel GASTOS fila 2958 [origen gastos_caja id=2943],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 39 cambio de rodaje posterior · excel gastos fila 2958 [origen gastos_caja id=2943] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
92ea28f1-8776-4dc5-bf76-6e9baff2a68f,2024-07-24,33,270,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 33 CAMBIO DE RESORTE DOS · Excel GASTOS fila 2960 [origen gastos_caja id=2945],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 33 cambio de resorte dos · excel gastos fila 2960 [origen gastos_caja id=2945] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
fdf50e52-a46a-4952-92fe-be025c187f44,2024-07-24,14,280,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 14 CAMBIO DE AMORTIGUARDOR TRASERO2 Y MOD · Excel GASTOS fila 2964 [origen gastos_caja id=2949],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 14 cambio de amortiguardor trasero2 y mod · excel gastos fila 2964 [origen gastos_caja id=2949] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
a5d931b4-df3b-4f66-a8d1-ec1ef11d35ca,2024-07-24,43,390,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 43 2 ROTULAS MAS 2 BOCINAS MAS RELLENO DE ARAñA Y MOD · Excel GASTOS fila 2966 [origen gastos_caja id=2951],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 43 2 rotulas mas 2 bocinas mas relleno de arana y mod · excel gastos fila 2966 [origen gastos_caja id=2951] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
a60e1dcc-78b0-40e7-95d9-0ae716e8d678,2024-07-24,29,40,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 29 CERTIFICADO GAS ANUAL · Excel GASTOS fila 2967 [origen gastos_caja id=2952],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 29 certificado gas anual · excel gastos fila 2967 [origen gastos_caja id=2952] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
13cb1f56-9f99-4b24-b3dc-d89dc274d408,2024-08-07,13,80,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 13 8/8 MOTOR ANILLOS · Excel GASTOS fila 3016 [origen gastos_caja id=3001],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 13 8/8 motor anillos · excel gastos fila 3016 [origen gastos_caja id=3001] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
f592e2a3-ff3d-48ce-8e0f-c346dd4578a9,2024-08-07,23,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 23 4/4 CENSOR CIGUEñAL · Excel GASTOS fila 3019 [origen gastos_caja id=3004],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 23 4/4 censor ciguenal · excel gastos fila 3019 [origen gastos_caja id=3004] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
24640f0e-32b5-416e-bcce-7b9edde9166b,2024-08-07,13,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 13 4/6 ARREGLO CAJA · Excel GASTOS fila 3022 [origen gastos_caja id=3007],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 13 4/6 arreglo caja · excel gastos fila 3022 [origen gastos_caja id=3007] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
